,rango,jugador,posicion,edad,equipo,partidos_jugados,partidos_iniciados,minutos_jugados,tiros_campo,intentos_campo,tiros_campo_porc,tiros_triples,intentos_triple,triples_porc,tiros_dobles,intentos_dobles,dobles_porc,tiros_efectivo_porc,tiros_libres,intentos_tiros_libres,tiros_libres_porc,rebotes_ofensivos,rebotes_defensivos,total_rebotes,asistencias,robos,bloqueos,perdidas_balon,faltas_personales,total_puntos
0,1,Precious Achiuwa,C,22,TOR,73,28,23.6,3.6,8.3,0.439,0.8,2.1,0.359,2.9,6.1,0.468,0.486,1.1,1.8,0.595,2.0,4.5,6.5,1.1,0.5,0.6,1.2,2.1,9.1
1,2,Steven Adams,C,28,MEM,76,75,26.3,2.8,5.1,0.547,0.0,0.0,0.0,2.8,5.0,0.548,0.547,1.4,2.6,0.543,4.6,5.4,10.0,3.4,0.9,0.8,1.5,2.0,6.9
2,3,Bam Adebayo,C,24,MIA,56,56,32.6,7.3,13.0,0.557,0.0,0.1,0.0,7.3,12.9,0.562,0.557,4.6,6.1,0.753,2.4,7.6,10.1,3.4,1.4,0.8,2.6,3.1,19.1
3,4,Santi Aldama,PF,21,MEM,32,0,11.3,1.7,4.1,0.402,0.2,1.5,0.125,1.5,2.6,0.56,0.424,0.6,1.0,0.625,1.0,1.7,2.7,0.7,0.2,0.3,0.5,1.1,4.1
4,5,LaMarcus Aldridge,C,36,BRK,47,12,22.3,5.4,9.7,0.55,0.3,1.0,0.304,5.1,8.8,0.578,0.566,1.9,2.2,0.873,1.6,3.9,5.5,0.9,0.3,1.0,0.9,1.7,12.9
5,6,Nickeil Alexander-Walker,SG,23,TOT,65,21,22.6,3.9,10.5,0.372,1.6,5.2,0.311,2.3,5.3,0.433,0.449,1.2,1.7,0.743,0.6,2.3,2.9,2.4,0.7,0.4,1.4,1.6,10.6
6,6,Nickeil Alexander-Walker,SG,23,NOP,50,19,26.3,4.7,12.6,0.375,1.9,6.1,0.311,2.8,6.5,0.434,0.45,1.4,1.9,0.722,0.7,2.6,3.3,2.8,0.8,0.4,1.7,1.8,12.8
7,6,Nickeil Alexander-Walker,SG,23,UTA,15,2,9.9,1.1,3.2,0.333,0.7,2.2,0.303,0.4,1.0,0.4,0.438,0.7,0.8,0.917,0.1,1.5,1.5,1.1,0.3,0.3,0.5,1.0,3.5
8,7,Grayson Allen,SG,26,MIL,66,61,27.3,3.9,8.6,0.448,2.4,5.9,0.409,1.5,2.7,0.533,0.588,1.0,1.1,0.865,0.5,2.9,3.4,1.5,0.7,0.3,0.7,1.5,11.1
9,8,Jarrett Allen,C,23,CLE,56,56,32.3,6.6,9.7,0.677,0.0,0.2,0.1,6.6,9.6,0.688,0.678,2.9,4.2,0.708,3.4,7.3,10.8,1.6,0.8,1.3,1.7,1.7,16.1
10,9,Jose Alvarado,PG,23,NOP,54,1,15.4,2.4,5.4,0.446,0.6,2.0,0.291,1.8,3.4,0.538,0.5,0.7,1.0,0.679,0.5,1.4,1.9,2.8,1.3,0.1,0.7,1.4,6.1
11,10,Justin Anderson,SF,28,TOT,16,6,19.8,2.3,5.9,0.379,0.9,3.7,0.254,1.3,2.3,0.583,0.458,0.9,1.2,0.789,0.3,2.6,2.9,2.1,0.5,0.4,0.5,1.4,6.4
12,10,Justin Anderson,SF,28,CLE,3,0,15.7,1.3,2.7,0.5,0.7,2.0,0.333,0.7,0.7,1.0,0.625,1.0,1.3,0.75,0.0,2.0,2.0,2.0,0.3,0.0,0.7,1.3,4.3
13,10,Justin Anderson,SF,28,IND,13,6,20.7,2.5,6.7,0.368,1.0,4.1,0.245,1.5,2.6,0.559,0.443,0.9,1.2,0.8,0.3,2.8,3.1,2.1,0.5,0.5,0.5,1.4,6.8
14,11,Kyle Anderson,PF,28,MEM,69,11,21.5,3.0,6.8,0.446,0.5,1.6,0.33,2.5,5.2,0.481,0.484,1.0,1.5,0.638,1.0,4.3,5.3,2.7,1.1,0.7,1.0,1.6,7.6
15,12,Giannis Antetokounmpo,PF,27,MIL,67,67,32.9,10.3,18.6,0.553,1.1,3.6,0.293,9.2,15.0,0.616,0.582,8.3,11.4,0.722,2.0,9.6,11.6,5.8,1.1,1.4,3.3,3.2,29.9
16,13,Thanasis Antetokounmpo,SF,29,MIL,48,6,9.9,1.5,2.7,0.547,0.0,0.3,0.143,1.4,2.4,0.596,0.555,0.6,1.0,0.63,0.8,1.3,2.1,0.5,0.3,0.3,0.5,1.4,3.6
17,14,Carmelo Anthony,PF,37,LAL,69,3,26.0,4.6,10.5,0.441,2.2,5.8,0.375,2.5,4.7,0.521,0.544,1.9,2.3,0.83,0.9,3.3,4.2,1.0,0.7,0.8,0.9,2.4,13.3
18,15,Cole Anthony,PG,21,ORL,65,65,31.7,5.5,14.0,0.391,2.0,6.0,0.338,3.5,8.0,0.432,0.464,3.3,3.9,0.854,0.5,4.9,5.4,5.7,0.7,0.3,2.6,2.6,16.3
19,16,OG Anunoby,SF,24,TOR,48,48,36.0,6.4,14.5,0.443,2.4,6.6,0.363,4.0,7.9,0.511,0.526,1.9,2.5,0.754,1.5,4.0,5.5,2.6,1.5,0.5,1.7,2.7,17.1
20,17,Ryan Arcidiacono,PG,27,NYK,10,0,7.6,0.6,1.2,0.5,0.4,0.9,0.444,0.2,0.3,0.667,0.667,0.0,0.0,0.0,0.0,0.8,0.8,0.4,0.1,0.0,0.3,0.5,1.6
21,18,Trevor Ariza,SF,36,LAL,24,11,19.3,1.4,4.1,0.333,0.8,3.1,0.27,0.5,1.0,0.52,0.434,0.4,0.8,0.556,0.4,3.0,3.4,1.1,0.5,0.3,0.5,0.8,4.0
22,19,D.J. Augustin,PG,34,TOT,55,2,16.1,1.7,4.0,0.423,1.2,3.0,0.415,0.5,1.1,0.448,0.577,0.7,0.8,0.884,0.2,1.0,1.2,1.9,0.3,0.0,1.0,0.7,5.3
23,19,D.J. Augustin,PG,34,HOU,34,2,15.0,1.6,4.0,0.404,1.1,2.8,0.406,0.5,1.2,0.4,0.548,1.0,1.1,0.868,0.2,1.0,1.2,2.2,0.3,0.0,1.3,0.5,5.4
24,19,D.J. Augustin,PG,34,LAL,21,0,17.8,1.9,4.1,0.453,1.4,3.2,0.426,0.5,0.9,0.556,0.622,0.2,0.2,1.0,0.2,1.1,1.3,1.6,0.3,0.0,0.5,1.0,5.3
